State,district number,Retired,disabled
AL,1,"119,556","28,295"
AL,2,"107,538","31,216"
AL,3,"110,138","33,798"
AL,4,"115,246","33,684"
AL,5,"111,545","23,313"
AL,6,"104,412","20,966"
AL,7,"92,263","34,409"
AK,1,"81,718","11,023"
AZ,1,"132,398","17,477"
AZ,2,"145,380","18,205"
AZ,3,"87,849","16,136"
AZ,4,"200,801","23,824"
AZ,5,"120,561","12,664"
AZ,6,"125,410","11,195"
AZ,7,"54,587","14,949"
AZ,8,"156,417","15,226"
AZ,9,"81,864","11,646"
AR,1,"468,117","125,981"
AR,2,"118,941","35,070"
AR,3,"113,591","29,129"
AR,4,"114,393","26,887"
AR,5,"121,192","34,895"
CA,1,"131,650","22,194"
CA,2,"125,677","12,837"
CA,3,"96,341","16,948"
CA,4,"145,099","14,886"
CA,5,"112,791","13,383"
CA,6,"79,211","17,462"
CA,7,"102,441","14,747"
CA,8,"90,017","16,694"
CA,9,"88,556","14,994"
CA,10,"87,897","15,077"
CA,11,"100,964","10,337"
CA,12,"86,871","9,636"
CA,13,"83,636","10,452"
CA,14,"96,146","6,996"
CA,15,"79,130","7,935"
CA,16,"67,827","13,657"
CA,17,"67,574","5,265"
CA,18,"84,320","4,817"
CA,19,"74,937","8,656"
CA,20,"91,847","10,591"
CA,21,"58,554","10,784"
CA,22,"88,289","11,922"
CA,23,"85,569","15,729"
CA,24,"112,026","10,795"
CA,25,"78,279","11,495"
CA,26,"98,672","10,041"
CA,27,"95,646","6,411"
CA,28,"74,040","7,671"
CA,29,"60,992","9,009"
CA,30,"89,586","8,049"
CA,31,"70,942","11,643"
CA,32,"81,694","9,334"
CA,33,"96,133","4,928"
CA,34,"59,394","7,851"
CA,35,"62,634","9,892"
CA,36,"133,455","15,589"
CA,37,"73,086","9,137"
CA,38,"85,465","9,567"
CA,39,"92,018","6,706"
CA,40,"52,019","8,371"
CA,41,"66,719","11,189"
CA,42,"91,363","11,134"
CA,43,"74,201","10,448"
CA,44,"64,285","11,102"
CA,45,"97,901","5,954"
CA,46,"58,057","8,103"
CA,47,"76,703","9,884"
CA,48,"103,576","6,979"
CA,49,"100,085","7,362"
CA,50,"100,392","10,931"
CA,51,"84,030","12,574"
CA,52,"91,875","7,290"
CA,53,"85,495","9,832"
CO,1,"82,767","11,478"
CO,2,"109,999","8,557"
CO,3,"127,270","17,104"
CO,4,"105,174","13,142"
CO,5,"104,908","15,702"
CO,6,"87,759","9,587"
CO,7,"92,086","11,937"
CT,1,"111,026","16,193"
CT,2,"116,142","16,705"
CT,3,"105,693","16,546"
CT,4,"91,704","9,275"
CT,5,"107,733","16,176"
DE,1,"175,408","25,286"
DC,1,"60,292","12,097"
FL,1,"129,408","25,060"
FL,2,"140,953","24,051"
FL,3,"121,584","21,506"
FL,4,"135,399","15,985"
FL,5,"93,246","24,276"
FL,6,"189,075","26,443"
FL,7,"98,554","14,427"
FL,8,"178,435","25,047"
FL,9,"133,177","28,887"
FL,10,"90,101","17,712"
FL,11,"265,207","32,723"
FL,12,"165,724","26,140"
FL,13,"143,454","23,054"
FL,14,"91,042","17,599"
FL,15,"119,805","22,975"
FL,16,"189,437","19,882"
FL,17,"209,692","25,845"
FL,18,"169,020","17,752"
FL,19,"201,174","17,356"
FL,20,"88,322","15,393"
FL,21,"155,076","12,291"
FL,22,"122,631","11,316"
FL,23,"104,617","9,554"
FL,24,"87,388","14,987"
FL,25,"109,045","10,370"
FL,26,"93,192","11,590"
FL,27,"96,180","7,824"
GA,1,"101,937","20,901"
GA,2,"94,854","25,062"
GA,3,"111,947","22,283"
GA,4,"85,660","17,555"
GA,5,"73,307","16,461"
GA,6,"80,867","5,429"
GA,7,"78,074","8,955"
GA,8,"100,389","23,869"
GA,9,"140,921","22,194"
GA,10,"110,459","21,011"
GA,11,"96,365","11,586"
GA,12,"98,297","23,406"
GA,13,"83,994","19,336"
GA,14,"102,620","24,746"
HI,1,"139,920","114,319"
HI,2,"146,943","116,522"
ID,1,"216,476","163,589"
ID,2,"161,428","118,866"
IL,1,"88,359","16,477"
IL,2,"88,864","19,486"
IL,3,"89,578","11,399"
IL,4,"52,741","9,913"
IL,5,"75,219","8,309"
IL,6,"99,837","8,045"
